unit,iccs,country	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993
NR,homicide,SE	68 	81 	91 	93 	82 	111 	91 	83 	102 	81 	101 	84 	89 	99 	93 	91 	97 	83 	98 	102
NR,homicide,SI	14 	16 	10 	13 	11 	24 	12 	20 	29 	21 	29 	15 	36 	25 	15 	36 	38 	45 	: 	:
NR,homicide,SK	75 	96 	89 	84 	94 	89 	89 	106 	122 	146 	128 	129 	143 	141 	128 	140 	132 	128 	129 	:
NR,homicide,TR	2486 	2354 	2343 	2690 	2773 	3090 	4663 	4879 	4829 	5062 	5394 	5527 	6663 	5068 	5451 	5516 	5955 	5684 	3999 	4043
NR,homicide,UKC-L	552 	553 	639 	620 	664 	775 	758 	764 	868 	904 	1047 	891 	850 	766 	750 	739 	679 	753 	727 	670
NR,homicide,UKM	72 	93 	98 	85 	97 	111 	123 	102 	139 	109 	128 	111 	104 	120 	96 	90 	134 	133 	111 	116
NR,homicide,UKN	20 	24 	28 	22 	26 	30 	24 	29 	41 	33 	45 	52 	48 	34 	75 	42 	39 	24 	86 	:
NR,homicide,XK	47 	50 	64 	56 	77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,various,AL	: 	: 	: 	: 	241 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,various,AT	47619 	46721 	44618 	47602 	47034 	46217 	43316 	42928 	41044 	40008 	36998 	34383 	39111 	36211 	: 	: 	: 	: 	: 	:
NR,various,BA	1851 	1877 	: 	1841 	1510 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,various,BE	120362 	128100 	123078 	122215 	119741 	115645 	113952 	111451 	109175 	108573 	107974 	103017 	103770 	: 	: 	: 	: 	: 	: 	:
NR,various,BG	7306 	7419 	9051 	9229 	8538 	8696 	8766 	10623 	11284 	12796 	12176 	10950 	11018 	12887 	: 	: 	: 	: 	: 	:
NR,various,CH	14376 	14021 	14105 	15360 	12560 	13537 	12784 	11544 	11917 	10151 	9265 	8653 	8152 	8528 	8015 	7472 	6932 	6042 	6002 	6606
NR,various,CY	: 	: 	436 	452 	319 	301 	319 	325 	383 	294 	203 	200 	185 	197 	176 	186 	180 	198 	170 	149
NR,various,CZ	19027 	20084 	18659 	17367 	18187 	19976 	19454 	22079 	24025 	22763 	23956 	22017 	22206 	23581 	23810 	23576 	23212 	22114 	20573 	20263
NR,various,DE	195143 	197030 	201243 	208446 	210885 	217923 	215471 	212832 	211172 	204124 	197492 	188413 	187103 	186655 	186306 	186447 	179455 	170170 	156272 	160680
NR,various,DK	25300 	26378 	26372 	26241 	24860 	20597 	19625 	19078 	19393 	19213 	18783 	18026 	17825 	16615 	15482 	15758 	14895 	14919 	16170 	15869
NR,various,EE	6725 	6059 	5347 	7406 	9082 	5834 	5154 	4755 	3287 	2411 	: 	643 	676 	638 	710 	781 	751 	813 	900 	809
NR,various,EL	8684 	9750 	12287 	12242 	11220 	10851 	10427 	10271 	10145 	10140 	7507 	9501 	9105 	9097 	9312 	8766 	8149 	8693 	9081 	8317
NR,various,ES	116906 	109429 	106509 	113060 	116324 	113473 	114205 	112426 	108820 	109798 	120581 	121094 	109665 	117341 	122005 	118370 	114303 	103039 	107912 	:
NR,various,FI	45980 	47793 	39640 	39598 	42215 	41664 	38037 	37105 	36450 	35293 	34186 	33355 	34291 	32089 	31726 	31202 	30825 	28218 	26017 	25226
NR,various,FR	277464 	353118 	351071 	341942 	331778 	324765 	326065 	307501 	292088 	292658 	288927 	279324 	243166 	215698 	194873 	186006 	178363 	165381 	155869 	144368
NR,various,FX	: 	: 	: 	341942 	331778 	324765 	326065 	307501 	292088 	292658 	288927 	279324 	243166 	215698 	194873 	186006 	178363 	165381 	155869 	144368
NR,various,HR	8644 	10213 	11038 	12220 	12985 	12966 	13235 	12405 	11292 	10032 	8802 	7584 	6211 	5373 	4401 	: 	: 	: 	: 	:
NR,various,HU	37368 	37201 	38445 	32046 	33035 	29645 	29728 	32760 	33364 	31484 	31221 	30820 	29145 	28277 	28414 	26987 	24784 	25773 	26035 	24574
NR,various,IE	10287 	11065 	12139 	10792 	10806 	10188 	9920 	9414 	9615 	9955 	11976 	8548 	5676 	: 	4515 	5488 	6554 	5764 	5046 	5470
NR,various,IT	147377 	141481 	127736 	131610 	146598 	153997 	145209 	136322 	131764 	111165 	106624 	107032 	106051 	111897 	108935 	103750 	100931 	98837 	107766 	114945
NR,various,LI	84 	86 	86 	95 	93 	86 	88 	107 	96 	109 	82 	85 	83 	78 	87 	82 	85 	: 	: 	:
NR,various,LT	2755 	3422 	3703 	4204 	4372 	4754 	5498 	6561 	6566 	6042 	5492 	5144 	5418 	4339 	4549 	4899 	4405 	3838 	5258 	4743
NR,various,LU	4466 	3816 	3319 	3264 	3197 	3233 	2471 	2367 	2433 	2124 	2069 	1689 	1768 	: 	: 	: 	: 	: 	: 	:
NR,various,LV	1351 	1403 	1414 	1882 	1928 	1919 	2750 	2879 	3366 	3200 	3407 	3761 	3937 	3363 	: 	: 	: 	: 	: 	:
NR,various,ME	339 	307 	352 	362 	300 	271 	280 	249 	4281 	3940 	4209 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,various,MK	841 	945 	1055 	1044 	905 	1037 	993 	1133 	1094 	860 	702 	493 	538 	: 	: 	: 	: 	: 	: 	:
NR,various,MT	309 	305 	372 	376 	382 	422 	390 	403 	406 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,various,NL	123410 	127385 	129450 	136600 	133510 	138850 	138215 	138915 	109887 	106410 	104336 	101320 	91738 	87132 	76787 	74691 	67479 	65284 	67077 	61591
NR,various,NO	25415 	24993 	24222 	24261 	23848 	23205 	22591 	21381 	21360 	20039 	20414 	19217 	19374 	17645 	17324 	17394 	17405 	15335 	14870 	14587
NR,various,PL	45602 	48350 	49194 	51128 	52122 	54629 	61399 	68141 	74614 	77152 	74875 	76235 	79763 	70310 	62461 	60895 	54481 	53197 	50080 	44544
NR,various,PT	21991 	24049 	24251 	24421 	24455 	21734 	24157 	23232 	24266 	23414 	22945 	21554 	19730 	18943 	15463 	16734 	15498 	17028 	17103 	:
NR,various,RO	6153 	4999 	5488 	5539 	5493 	5580 	7240 	6469 	6388 	6281 	7130 	7943 	7703 	7840 	7846 	8966 	8720 	9212 	8930 	9515
NR,various,RS	33732 	34249 	32167 	32061 	29582 	29316 	28864 	29068 	27950 	25513 	31400 	43569 	36104 	: 	: 	: 	: 	: 	: 	:
NR,various,SE	113190 	116496 	113262 	111703 	108448 	104627 	98154 	94205 	86107 	83782 	79455 	78407 	75874 	76746 	70952 	68349 	65829 	66311 	65236 	63788
NR,various,SI	2526 	2471 	2776 	2804 	2638 	3087 	3069 	2856 	2928 	2893 	3070 	2807 	1594 	1434 	1352 	1902 	2042 	1906 	1317 	1327
NR,various,SK	7248 	7778 	8094 	8963 	9669 	10274 	11584 	13575 	13755 	13724 	15020 	14450 	13549 	13531 	12427 	11564 	11391 	10990 	9876 	9722
NR,various,TR	247961 	229119 	234707 	206724 	167122 	138576 	165119 	125467 	108371 	96209 	94920 	87325 	77017 	71303 	72601 	67567 	64487 	55001 	13251 	12366
NR,various,UKC-L	719830 	754168 	795615 	827122 	839323 	885718 	972283 	997159 	997607 	963395 	875665 	821270 	741954 	703107 	605797 	347064 	344766 	310936 	: 	:
NR,various,UKM	17196 	20145 	21499 	21662 	24777 	25182 	27618 	26558 	27400 	27423 	28183 	27085 	24981 	27321 	25725 	23656 	25178 	24360 	23382 	23085
NR,various,UKN	33251 	33494 	32561 	32826 	32487 	32388 	35101 	34288 	32448 	32669 	32360 	29745 	24330 	24163 	21452 	8251 	9110 	8368 	7693 	7507
NR,various,XK	23085 	22849 	18161 	16199 	17186 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,robbery,AL	: 	: 	: 	: 	50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,robbery,AT	4092 	4066 	4310 	4577 	4786 	5036 	5095 	4770 	4798 	4434 	3638 	2824 	3034 	2283 	2234 	1991 	: 	: 	: 	:
NR,robbery,BA	1010 	975 	: 	1727 	1363 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,robbery,BE	28090 	27327 	23842 	23582 	22873 	21186 	22820 	23995 	24240 	27986 	30288 	28755 	28188 	: 	: 	: 	: 	: 	: 	:
NR,robbery,BG	2955 	3110 	3737 	3596 	2868 	2996 	2875 	3754 	4131 	4933 	4665 	4069 	4266 	4044 	4494 	6481 	5623 	5737 	: 	:
NR,robbery,CH	3603 	3113 	2853 	3530 	4220 	4481 	4088 	3977 	4749 	4344 	3968 	3822 	3752 	4289 	4273 	4093 	3776 	3315 	3812 	4980
NR,robbery,CY	173 	137 	138 	111 	62 	69 	66 	73 	100 	66 	36 	39 	39 	31 	29 	23 	15 	22 	14 	17
NR,robbery,CZ	3283 	3761 	3874 	4515 	4515 	4668 	4613 	5368 	5931 	5443 	5434 	4321 	4644 	4817 	4306 	4751 	4281 	3978 	3826 	4109
NR,robbery,DE	48711 	48021 	48166 	49317 	49913 	52949 	53696 	54841 	59732 	59782 	58867 	57108 	59414 	61420 	64405 	69569 	67578 	: 	: 	:
NR,robbery,DK	12709 	13070 	12802 	12738 	10747 	5784 	5048 	5199 	5733 	5884 	6033 	5872 	5915 	5539 	5008 	4861 	4368 	4112 	4171 	4610
NR,robbery,EE	457 	525 	599 	726 	909 	887 	1005 	1298 	1632 	1885 	: 	4475 	4754 	4918 	3978 	3478 	: 	: 	: 	:
NR,robbery,EL	5992 	6636 	6079 	4715 	3293 	2823 	2463 	2084 	2339 	2083 	1992 	1735 	1581 	2048 	2254 	1967 	1487 	1600 	1257 	1505
NR,robbery,ES	96607 	87718 	84411 	90407 	92832 	89884 	90591 	90104 	88413 	92980 	104380 	106491 	94831 	101842 	105528 	104788 	99282 	87255 	: 	:
NR,robbery,FI	1616 	1622 	1508 	1640 	1696 	1784 	1700 	1814 	2017 	2045 	2120 	2157 	2600 	2277 	2092 	2016 	: 	: 	: 	:
NR,robbery,FR	113327 	120966 	121038 	112765 	106633 	112885 	127190 	124600 	119641 	125286 	133137 	134281 	109836 	94947 	84291 	80498 	: 	: 	: 	:
NR,robbery,FX	: 	: 	: 	112765 	106633 	112885 	127190 	124600 	119641 	125286 	133137 	134281 	109836 	94947 	84291 	80498 	: 	: 	: 	:
NR,robbery,HR	1588 	1382 	1245 	1411 	1259 	1272 	1445 	1560 	1622 	1236 	1204 	801 	802 	667 	728 	593 	521 	464 	414 	644
NR,robbery,HU	3020 	3186 	3396 	3158 	3128 	3119 	2709 	2982 	3227 	3289 	3389 	3319 	3494 	3167 	3056 	3056 	2689 	2657 	2570 	2881
NR,robbery,IE	2779 	2908 	3173 	2468 	2277 	2151 	2475 	2406 	2702 	2894 	1688 	1744 	1397 	: 	: 	: 	: 	: 	: 	:
NR,robbery,IS	50 	42 	42 	60 	43 	42 	50 	49 	35 	39 	32 	39 	34 	: 	: 	: 	: 	: 	: 	:
NR,robbery,IT	62641 	58206 	47996 	50732 	64535 	74130 	71762 	65724 	66643 	70625 	68248 	66671 	67424 	72836 	73289 	69993 	68571 	69535 	79145 	86306
NR,robbery,LI	5 	1 	2 	2 	1 	5 	4 	1 	2 	3 	1 	1 	2 	7 	7 	7 	4 	: 	: 	:
NR,robbery,LT	1923 	2502 	2727 	3363 	3452 	3802 	4343 	5206 	5323 	4919 	4535 	4185 	4374 	3376 	3646 	3971 	3481 	2837 	4217 	3723
NR,robbery,LU	457 	356 	316 	365 	260 	331 	263 	351 	339 	374 	367 	257 	307 	352 	372 	288 	260 	252 	291 	254
NR,robbery,LV	964 	1061 	1072 	1516 	1441 	1468 	2248 	2163 	2467 	2503 	2664 	3059 	3160 	2619 	: 	: 	: 	: 	: 	:
NR,robbery,ME	110 	130 	137 	142 	84 	67 	80 	86 	4239 	3908 	4173 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,robbery,MK	510 	513 	604 	597 	458 	521 	503 	709 	783 	573 	463 	266 	296 	: 	: 	: 	: 	: 	: 	:
NR,robbery,MT	257 	219 	196 	202 	147 	200 	222 	256 	265 	195 	156 	160 	146 	212 	318 	: 	: 	: 	: 	:
NR,robbery,NL	14750 	15400 	16105 	16265 	13175 	13660 	14485 	16445 	17683 	20018 	20647 	21174 	19004 	17685 	14498 	14186 	15156 	15747 	15928 	16341
NR,robbery,NO	1484 	1623 	1687 	1776 	1598 	1464 	1388 	1448 	1596 	1437 	1548 	1392 	1635 	1558 	1240 	989 	947 	891 	951 	976
NR,robbery,PL	16685 	17729 	19359 	20583 	21085 	22766 	29472 	36347 	41287 	44086 	40345 	41208 	43255 	36597 	26647 	23988 	20372 	20252 	19152 	17475
NR,robbery,PT	18504 	20353 	20423 	20460 	20807 	18427 	20870 	20183 	21051 	19767 	19764 	18585 	17156 	16065 	12442 	13901 	12892 	14396 	14322 	11918
NR,robbery,RO	3193 	2251 	2484 	2541 	2464 	2496 	4078 	3326 	3087 	2782 	3025 	3467 	3280 	3336 	3548 	4010 	3866 	4154 	4161 	4647
NR,robbery,RS	29531 	29899 	27660 	27285 	24717 	24272 	23785 	23854 	22893 	21126 	27333 	39627 	32511 	: 	: 	: 	: 	: 	: 	:
NR,robbery,SE	9213 	9719 	9219 	9570 	8909 	8673 	8584 	9398 	8590 	8575 	8974 	8538 	8999 	8628 	6713 	6641 	5821 	5747 	5331 	6101
NR,robbery,SI	391 	403 	463 	481 	386 	450 	525 	429 	398 	349 	449 	503 	474 	463 	379 	341 	507 	292 	275 	205
NR,robbery,SK	974 	851 	1188 	1358 	1371 	1429 	1594 	1919 	2156 	1918 	1578 	1366 	1264 	1437 	1231 	1199 	: 	: 	: 	:
NR,robbery,TR	10301 	9646 	8575 	8693 	8876 	12657 	21609 	15147 	10864 	4827 	3943 	3109 	1858 	1585 	1656 	1491 	1671 	1809 	262 	353
NR,robbery,UKC-L	65156 	74688 	76189 	75105 	80130 	84773 	101376 	98198 	91010 	103736 	110271 	121359 	95154 	84277 	66835 	63072 	74035 	68074 	60007 	57845
NR,robbery,UKM	1832 	2244 	2557 	2496 	2963 	3064 	3578 	3553 	3736 	4159 	4938 	4228 	4420 	5075 	4951 	4484 	5254 	5330 	5297 	5582
NR,robbery,UKN	1014 	1221 	1306 	1276 	1283 	1143 	1574 	1744 	1487 	1973 	2497 	2222 	1767 	1383 	1395 	1653 	1725 	1539 	1567 	1723
NR,robbery,XK	513 	619 	544 	174 	452 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,burglary,AL	: 	: 	: 	: 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,burglary,AT	15479 	15616 	15747 	21248 	18648 	20040 	18945 	21227 	20276 	13429 	12674 	13008 	13262 	10111 	11811 	12826 	13849 	13721 	14160 	:
NR,burglary,BE	80708 	75310 	68548 	69446 	64045 	62964 	63615 	56978 	57484 	63994 	79203 	77330 	83315 	: 	: 	: 	: 	: 	: 	:
NR,burglary,BG	16781 	20272 	24005 	23682 	19980 	22208 	23460 	22379 	25565 	28210 	31639 	36269 	39455 	33004 	43830 	85356 	70126 	80671 	: 	:
NR,burglary,CH	34339 	27441 	24119 	25393 	55688 	57493 	56706 	61194 	70370 	68551 	60822 	57375 	60384 	76322 	83416 	82559 	74321 	67044 	66466 	69278
NR,burglary,CY	2953 	3379 	3275 	2443 	2576 	2656 	3084 	2812 	3311 	3159 	1228 	792 	1010 	1026 	1347 	1083 	1316 	1002 	1287 	1443
NR,burglary,CZ	9718 	9568 	10091 	9616 	9111 	9163 	9603 	10361 	11670 	12164 	11933 	10590 	11294 	12445 	12752 	13068 	13538 	13936 	14804 	17632
NR,burglary,DE	144117 	132595 	121347 	113800 	108284 	109128 	106107 	109736 	124155 	123280 	130055 	133722 	140015 	149044 	166742 	182009 	195801 	211221 	210982 	227090
NR,burglary,DK	43480 	45369 	44788 	48670 	43974 	36342 	31204 	29439 	32956 	33879 	35557 	32274 	32846 	34311 	31463 	34648 	33502 	32363 	31864 	35562
NR,burglary,EE	2718 	2792 	3196 	3027 	3321 	3096 	3928 	4766 	5752 	6495 	7356 	7652 	7285 	7588 	7026 	6610 	6864 	8175 	6878 	7137
NR,burglary,EL	87912 	96925 	90931 	63928 	59027 	49886 	42069 	37595 	26489 	31181 	31805 	31903 	31840 	36947 	43228 	44286 	42825 	42377 	34011 	32803
NR,burglary,ES	126422 	100780 	111656 	97834 	93880 	72723 	80981 	81495 	81552 	88128 	93751 	99066 	90518 	91553 	89428 	84430 	80808 	76610 	: 	:
NR,burglary,FI	6281 	6672 	6453 	6497 	5978 	6532 	5923 	7281 	7901 	7373 	7406 	7957 	9264 	9763 	10291 	10436 	10311 	11512 	12829 	13194
NR,burglary,FR	135402 	216271 	186524 	179408 	166250 	165780 	177840 	181503 	202880 	216797 	224223 	210850 	186492 	191102 	207274 	213561 	236272 	237624 	246641 	248002
NR,burglary,FX	: 	: 	: 	179408 	166250 	165780 	177840 	181503 	202880 	216797 	224223 	210850 	186492 	191102 	207274 	213561 	236272 	237624 	246641 	248002
NR,burglary,HR	4331 	3468 	3104 	2777 	2714 	3094 	2981 	3396 	3734 	4125 	4174 	4037 	2957 	: 	: 	: 	: 	: 	: 	:
NR,burglary,HU	22587 	21072 	19865 	16200 	16455 	17415 	16856 	17786 	18671 	19366 	22907 	26194 	26866 	29902 	30525 	31269 	30116 	22372 	21061 	17771
NR,burglary,IE	27837 	27695 	25420 	26911 	24683 	23603 	24788 	26381 	24913 	16436 	15474 	14877 	13376 	14286 	15840 	16970 	17672 	18506 	18713 	18238
NR,burglary,IS	1374 	1900 	2866 	3524 	2731 	2277 	2365 	2244 	2769 	2889 	3208 	2857 	2407 	: 	: 	: 	: 	: 	: 	:
NR,burglary,IT	240846 	207749 	171269 	152804 	153080 	169367 	143726 	122250 	112112 	173097 	169430 	183496 	207317 	234252 	246804 	237445 	230258 	212477 	198401 	192141
NR,burglary,LI	101 	72 	118 	168 	93 	102 	120 	97 	121 	123 	87 	72 	95 	74 	92 	95 	203 	142 	: 	:
NR,burglary,LT	3526 	4081 	4905 	5799 	6076 	5516 	6637 	7065 	9174 	8573 	6989 	8647 	9203 	9180 	9246 	9424 	8631 	7462 	7414 	6964
NR,burglary,LU	2005 	2206 	1487 	1843 	1731 	2030 	1838 	1486 	2100 	2206 	1992 	1947 	2081 	2092 	2649 	2416 	3152 	3249 	3728 	2942
NR,burglary,LV	: 	: 	4194 	4133 	3538 	3654 	4624 	4310 	6031 	5327 	5177 	5439 	5614 	4706 	: 	: 	: 	: 	: 	:
NR,burglary,ME	1383 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,burglary,MK	1987 	2160 	1610 	1612 	1346 	1590 	1367 	1146 	1275 	1088 	792 	1036 	981 	: 	: 	: 	: 	: 	: 	:
NR,burglary,MT	809 	734 	703 	667 	674 	735 	856 	1113 	782 	682 	679 	618 	784 	675 	: 	: 	: 	: 	: 	:
NR,burglary,NL	112105 	108720 	102800 	94580 	91245 	89415 	95165 	96015 	95952 	103577 	101920 	90284 	91420 	92252 	90613 	97690 	103951 	118115 	123962 	119858
NR,burglary,NO	5987 	5790 	7284 	9035 	8125 	6777 	7268 	8136 	8613 	10475 	10482 	9641 	10402 	11821 	14128 	15976 	18054 	18382 	17329 	18663
NR,burglary,PL	41042 	39571 	37941 	32977 	31481 	37644 	46610 	59325 	66795 	65172 	67290 	72167 	77397 	74326 	74137 	70187 	65985 	62011 	57120 	:
NR,burglary,PT	25148 	28299 	26641 	26027 	29655 	22324 	23314 	21840 	22587 	21963 	19989 	20806 	21153 	22224 	21515 	24202 	22798 	21981 	23130 	19376
NR,burglary,RO	15292 	16311 	14197 	11574 	10285 	10829 	9165 	9135 	10002 	10063 	12001 	17551 	19024 	21287 	29404 	31311 	29024 	31163 	17842 	15411
NR,burglary,RS	6738 	6925 	6849 	6121 	6353 	6184 	6224 	7738 	7611 	6890 	9084 	11906 	9685 	: 	: 	: 	: 	: 	: 	:
NR,burglary,SE	21346 	22214 	19774 	20463 	18176 	16936 	15005 	16654 	17573 	17344 	16562 	15169 	17581 	16834 	17536 	18359 	16835 	16701 	17670 	20237
NR,burglary,SI	2717 	2486 	2563 	2231 	2036 	2282 	2220 	2286 	2750 	2368 	3051 	2522 	3274 	988 	: 	: 	: 	1361 	1383 	:
NR,burglary,SK	1742 	1714 	1876 	2330 	2118 	2437 	2602 	2809 	3023 	2642 	2785 	3144 	3248 	3601 	3639 	3854 	3859 	4480 	4666 	3928
NR,burglary,TR	113772 	96385 	90103 	80973 	69792 	73727 	90150 	58062 	36935 	32162 	29149 	28877 	20493 	: 	: 	: 	: 	: 	: 	:
NR,burglary,UKC-L	227280 	245312 	258165 	268606 	284431 	280696 	292260 	300517 	321507 	402345 	437583 	430347 	402984 	442602 	473349 	519265 	602128 	643645 	: 	:
NR,burglary,UKM	15656 	17375 	17657 	16727 	17223 	17465 	20429 	21232 	23613 	24828 	29623 	30181 	32684 	36265 	38033 	36792 	40814 	44725 	53116 	:
NR,burglary,UKN	5945 	6650 	7081 	7269 	7350 	6712 	6831 	7255 	7302 	8943 	10122 	9071 	8372 	7665 	7725 	7435 	8530 	9774 	9833 	8080
NR,burglary,XK	6872 	5658 	4485 	3581 	3959 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,theft_motor_vehicle,AL	: 	: 	: 	: 	28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,theft_motor_vehicle,AT	4446 	5158 	5150 	9289 	9049 	7802 	8959 	11089 	8156 	7720 	5489 	5740 	8601 	5679 	5771 	5950 	5791 	6095 	: 	:
NR,theft_motor_vehicle,BA	1328 	1091 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,theft_motor_vehicle,BE	17126 	19360 	19845 	21900 	23298 	24884 	26754 	26769 	29878 	36222 	45263 	49822 	54146 	: 	: 	: 	: 	: 	: 	:
NR,theft_motor_vehicle,BG	387 	415 	486 	388 	430 	448 	640 	785 	1268 	1488 	2196 	2076 	2422 	1507 	1758 	2433 	2413 	2451 	: 	:
NR,theft_motor_vehicle,CH	8035 	7897 	7856 	9115 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
